iter	Passed	Remaining
0	54	54710
1	54	27386
2	54	18276
3	55	13743
4	55	10993
5	55	9162
6	55	7839
7	55	6878
8	55	6134
9	55	5522
10	56	5052
11	56	4634
12	56	4276
13	56	3979
14	56	3714
15	56	3482
16	57	3296
17	57	3119
18	57	2960
19	57	2817
20	57	2684
21	57	2562
22	57	2451
23	57	2349
24	57	2260
25	58	2174
26	58	2095
27	58	2026
28	59	1982
29	60	1946
30	60	1883
31	60	1824
32	60	1770
33	60	1719
34	60	1670
35	60	1623
36	60	1579
37	60	1538
38	60	1498
39	60	1460
40	61	1430
41	61	1396
42	61	1364
43	61	1333
44	61	1304
45	61	1278
46	61	1255
47	61	1229
48	62	1204
49	62	1183
50	62	1166
51	62	1146
52	63	1129
53	63	1112
54	63	1095
55	64	1087
56	64	1068
57	64	1049
58	64	1031
59	64	1014
60	64	998
61	64	982
62	64	966
63	64	950
64	65	935
65	65	921
66	65	907
67	65	894
68	65	881
69	65	868
70	65	856
71	65	844
72	65	832
73	65	821
74	65	8175	67	820
76	68	820
77	68	809
78	68	802
79	68	792
80	69	782
81	69	773
82	69	763
83	69	754
84	69	745
85	69	736
86	69	728
87	69	719
88	69	711
89	69	703
90	70	705
91	70	697
92	71	694
93	71	688
94	71	681
95	71	675
96	72	670
97	72	663
98	72	656
99	72	650
100	72	643
101	72	637
102	72	631
103	72	625
104	72	618
105	72	612
106	72	606
107	72	601
108	72	595
109	72	589
110	72	583
111	72	578
112	73	573
113	73	568
114	73	562
115	73	558
116	73	553
117	73	550
118	73	545
119	73	540
120	73	536
121	74	532
122	74	528
123	74	524
124	74	521
125	74	519
126	75	517
127	75	513
128	75	510
129	75	506
130	75	502
131	75	497
132	75	493
133	75	489
134	75	485
135	75	482
136	75	478
137	76	474
138	76	471
139	76	467
140	76	463
141	76	460
142	76	457
143	76	453
144	76	450
145	76	447
146	76	443
147	76	440
148	76	437
149	76	434
150	76	431
151	76	428
152	76	425
153	76	422
154	76	419
155	76	416
156	77	413
157	77	410
158	77	408
159	77	405
160	77	402
161	77	399
162	77	397
163	77	394
164	77	392
165	77	389
166	77	387
167	77	384
168	77	382
169	77	379
170	77	377
171	77	374
172	77	372
173	77	370
174	78	367
175	78	365
176	78	363
177	78	361
178	78	358
179	78	356
180	78	354
181	78	352
182	78	350
183	78	348
184	78	346
185	78	344
186	78	342
187	78	340
188	78	338
189	78	336
190	78	334
191	78	332
192	79	330
193	79	328
194	79	327
195	79	325
196	79	323
197	79	321
198	79	319
199	79	318
200	79	316
201	79	314
202	79	313
203	79	311
204	79	309
205	79	307
206	79	306
207	80	304
208	80	303
209	80	301
210	80	299
211	80	298
212	80	296
213	80	295
214	80	293
215	80	292
216	80	290
217	80	289
218	80	287
219	81	289
220	81	288
221	81	286
222	81	285
223	81	283
224	82	282
225	82	281
226	82	279
227	82	278
228	82	276
229	82	275
230	82	274
231	82	272
232	82	271
233	82	270
234	82	268
235	82	267
236	82	266
237	82	264
238	82	263
239	82	262
240	82	261
241	82	259
242	83	258
243	83	257
244	83	256
245	83	255
246	83	253
247	83	252
248	83	251
249	83	250
250	83	249
251	83	247
252	83	246
253	83	245
254	83	244
255	83	243
256	83	242
257	83	241
258	83	240
259	84	239
260	84	238
261	84	237
262	84	236
263	84	235
264	84	234
265	84	233
266	84	232
267	84	231
268	84	230
269	84	229
270	84	228
271	84	227
272	84	226
273	84	225
274	84	224
275	85	223
276	85	222
277	85	222
278	86	223
279	86	222
280	86	221
281	87	221
282	87	220
283	87	219
284	87	219
285	87	218
286	87	217
287	88	217
288	88	217
289	88	217
290	88	216
291	88	215
292	88	214
293	89	213
294	89	213
295	89	212
296	89	211
297	89	210
298	89	209
299	89	208
300	89	207
301	89	207
302	89	206
303	89	205
304	90	205
305	90	204
306	90	203
307	90	202
308	90	202
309	90	201
310	90	200
311	90	199
312	90	198
313	90	198
314	90	197
315	91	197
316	91	197
317	91	196
318	91	196
319	91	195
320	91	194
321	91	193
322	92	192
323	92	192
324	92	191
325	92	190
326	92	189
327	92	189
328	92	188
329	92	188
330	92	187
331	92	186
332	93	186
333	93	186
334	93	185
335	93	185
336	94	185
337	94	184
338	94	183
339	94	183
340	94	182
341	94	182
342	94	181
343	95	182
344	96	182
345	96	181
346	96	181
347	96	180
348	96	179
349	96	179
350	96	179
351	96	178
352	97	177
353	97	177
354	97	176
355	97	175
356	97	175
357	97	174
358	97	173
359	97	173
360	97	172
361	97	172
362	97	171
363	97	170
364	98	170
365	98	170
366	98	169
367	98	169
368	98	168
369	98	16370	99	168
371	99	167
372	99	167
37373	99	1637374	99	166
375	100	166
376	100	165
377	100	164
378	100	164
379	100	163
380	100	163
381	100	162
382	100	162
383	100	161
384	100	161
385	100	160
386	101	159
387	101	160
388	101	159
389	101	159
390	102	159
391	102	158
392	102	158
393	102	157
394	102	157
395	102	156
396	103	156
397	103	156
398	103	155
399	103	154
400	103	154
401	104	154
402	104	154
403	104	153
404	104	153
405	104	152
406	104	152
407	104	152
408	104	151
409	104	151
410	105	150
411	105	149
412	105	149
413	105	148
414	105	148
415	105	147
416	105	147
417	105	146
418	105	146
419	105	145
420	105	145
421	105	144
422	105	144
423	106	144
424	106	143
425	106	143
426	106	143
427	107	143
428	107	142
429	107	143
430	108	142
431	108	142
432	108	141
433	108	141
434	108	140
435	108	140
436	109	140
437	109	140
438	109	140
439	109	139
440	109	139
441	110	138
442	110	138
443	110	137
444	110	137
445	110	136
446	110	136
447	110	136
448	110	135
449	110	135
450	110	134
451	110	134
452	111	134
453	111	133
454	111	133
455	111	132
456	111	132
457	111	131
458	111	131
459	112	131
460	112	131
461	112	130
462	112	130
463	112	129
464	112	129
465	113	129
466	113	129
467	113	128
468	113	128
469	113	127
470	113	127
471	113	127
472	113	126
473	113	126
474	114	126
475	114	125
476	114	125
477	114	124
478	114	124
479	115	124
480	115	124
481	115	123
482	115	123
483	115	123
484	115	122
485	115	122
486	115	121
487	115	121
488	115	120
489	115	120
490	116	120
491	116	119
492	116	119
493	116	119
494	116	118
495	116	118
496	116	117
497	116	117
498	116	117
499	116	116
500	116	116
501	116	115
502	116	115
503	116	114
504	116	114
505	116	114
506	117	113
507	117	113
508	117	113
509	117	112
510	117	112
511	117	111
512	117	11513	117	111
514	117	110
515	117	110
516	117	109
517	117	109
518	118	109
519	118	109
520	118	108
521	118	108
522	118	107
523	118	107
524	118	107
52525	118	1052526	119	107
527	119	106
528	119	106
529	120	106
530	120	106
531	120	105
532	120	105
533	120	104
534	120	104
535	120	104
536	120	103
537	120	103
538	120	103
539	120	102
540	120	102
541	121	102
542	122	102
543	123	103
544	123	103
545	123	102
546	123	102
547	123	102
548	123	101
549	123	101
550	123	100
551	123	100
552	123	100
553	124	99
554	124	99
555	124	99
556	124	98
557	124	98
558	124	98
559	124	97
560	124	97
561	124	97
562	124	96
563	124	96
564	124	96
565	124	95
566	125	95
567	125	95
568	125	94
569	125	94
570	125	94
571	125	93
572	125	93
573	125	93
574	125	92
575	125	92
576	125	92
577	125	91
578	125	91
579	125	91
580	125	90
581	125	90
582	125	90
583	126	90
584	126	89
585	126	89
586	126	89
587	126	88
588	126	88
589	126	88
590	127	87
591	127	87
592	127	87
593	127	87
594	127	86
595	127	86
596	127	86
597	127	85
598	128	85
599	128	85
600	128	85
601	128	84
602	128	84
603	128	84
604	128	83
605	128	83
606	128	83
607	128	83
608	128	82
609	128	82
610	128	82
611	129	81
612	129	81
613	129	81
614	129	80
615	129	80
616	129	80
617	129	79
618	129	79
619	129	79
620	129	79
621	129	78
622	129	78
623	129	78627	128	76
628	129	76
629	129	75
630	129	75
631	129	75
632	129	75
633	129	75
634	129	74
635	130	74
636	130	74
637	130	73
638	130	73
63637	131	74
638	131	74
639	131	74
640	131	73
641	132	7644	131	72
645	131	72
646	131	71
647	131	71
648	132	71
649	132	71
650	132	70
651	132	70
652	135	71
653	135	71
654	135	71
655	135	71
656	135	70
657	136	70
658	136	70
659	136	70
660	136	69
661	136	69
662	136	69
663	136	69
664	136	68
665	137	68
666	137	68
667	137	68
668	139	68
669	139	68
670	140	68
671	140	68
672	140	68
673	142	68
674	142	68
675	142	68
676	142	68
677	142	67
678	142	67
679	142	67
680	142	66
681	142	66
682	143	66
683	143	66
684	143	65
685	143	65
686	143	65
687	143	64
688	143	64
689	143	64
690	143	64
691	144	64
692	144	63
693	144	63
694	144	63
695	144	63
696	144	62
697	145	62
698	145	62
699	147	63
700	147	62
701	147	62
702	147	62
703	147	61
704	147	61
705	147	61
706	147	61
707	147	60
708	147	60
709	147	60
710	147	60
711	147	59
712	147	59
713	147	59
714	147	58
715	147	58
716	148	58
717	148	58
718	148	58
719	148	57
720	148	57
721	148	57
722	149	57
723	149	56
724	149	56
725	149	56
726	149	56
727	149	55
728	149	55
729	149	55
730	149	55
731	149	54
732	150	54
733	150	54
734	150	54
735	150	53
736	151	53
737	151	53
738	151	53
739	151	53
740	151	53
741	151	52
742	151	52
743	151	52
744	151	52
745	151	51
746	152	51
747	152	51
748	152	51
749	152	50
750	152	50
751	152	50
752	152	50
753	152	49
754	152	49
755	152	49
756	152	49
757	152	48
758	152	48
759	152	48
760	152	48
761	153	47
762	153	47
763	153	47
764	153	47
765	153	46
766	153	46
767	153	46
768	153	46
769	153	45
770	156	46
771	156	46
772	156	45
773	156	45
774	156	45
775	156	45
776	156	44
777	156	44
778	156	44
779	156	44
780	156	43
781	156	43
782	156	43
783	156	43
784	156	42
785	157	42
786	157	42
787	157	42
788	157	42
789	157	41
790	157	41
791	157	41
792	157	41
793	157	40
794	157	40
795	157	40
796	157	40
797	158	39
798	158	39
799	158	39
800	158	39
801	158	39
802	158	38
803	158	38
804	158	38
805	158	38
806	158	38
807	159	37
808	159	37
809	159	37
810	159	37
811	159	36
812	159	36
813	159	36
814	159	36
815	159	35
816	159	35
817	159	35
818	159	35
819	162	35
820	162	35
821	162	35
822	162	34
823	162	34
824	162	34
825	162	34
826	162	34
827	162	33
828	162	33
829	162	33
830	163	33
831	163	32
832	163	32
833	163	32
834	164	32
835	164	32
836	164	32
837	164	31
838	164	31
839	164	31
840	164	31
841	165	30
842	165	30
843	165	30
844	165	30
845	165	30
846	165	29
847	166	29
848	167	29
849	167	29
850	167	29
851	168	29
852	168	29
853	168	28
854	168	28
855	168	28
856	168	28
857	169	27
858	169	27
859	169	27
860	169	27
861	169	27
862	169	26
863	169	26
864	169	26
865	170	26
866	170	26
867	170	25
868	170	25
869	170	25
870	170	25
871	171	25
872	171	24
873	171	24
874	171	24
875	171	24
876	171	24
877	171	23
878	171	23
879	171	23
880	171	23
881	171	23
882	171	22
883	172	22
884	172	22
885	172	22
886	172	21
887	172	21
888	172	21
889	173	21
890	173	21
891	173	20
892	173	20
893	173	20
894	174	20
895	174	20
896	174	19
897	174	19
898	174	19
899	174	19
900	174	19
901	174	18
902	174	18
903	174	18
904	174	18
905	174	18
906	174	17
907	174	17
908	174	17
909	174	17
910	174	17
911	175	16
912	175	16
913	175	16
914	175	16
915	175	16
916	175	15
917	175	15
918	175	15
919	175	15
920	175	15
921	175	14
922	175	14
923	175	14
924	175	14
925	175	14
926	175	13
927	175	13
928	175	13
929	176	13
930	176	13
931	176	12
932	176	12
933	176	12
934	176	12
935	176	12
936	176	11
937	176	11
938	176	11
93937	177	1940	177	11
941	179	11
942	179	10
943	179	10
944	179	10
945	179	10
946	179	10
947	180	9
948	180	9
949	180	9
950	180	9
951	180	9
952	180	8
953	180	8
954	180	8
955	180	8
956	180	8
957	180	7
958	181	7
959	181	7
960	181	7
961	181	7
962	181	6
963	181	6
964	181	6
965	181	6
966	182	6
967	182	6
968	182	5
969	182	5
970	182	5
971	182	5
972	182	5
973	182	4
974	182	4
975	182	4
976	182	4
977	182	4
978	182	3
979	182	3
980	182	3
981	193	3
982	194	3
983	194	3
984	194	2
985	194	2
986	194	2
987	194	2
988	194	2
989	194	1
990	194	1
991	194	1
992	194	1
993	194	1
994	194	0
995	195	0
996	195	0
997	195	0
998	195	0
999	195	0
	0
998	183	0
999	183	0
9	173	0
